datetime,open,high,low,close,volume,oi
2004-01-21 00:00:00+05:30,109.97,111.59,105.41,106.44,33620525,0
2004-01-22 00:00:00+05:30,106.45,110.67,101.5,103.04,53084951,0
2004-01-23 00:00:00+05:30,103.76,108.04,102.36,107.39,48293044,0
2004-01-27 00:00:00+05:30,108.19,112.3,107.87,111.78,36738239,0
2004-01-28 00:00:00+05:30,113.19,113.43,109.64,110.82,43400192,0
2004-01-29 00:00:00+05:30,111.84,112.79,108.82,110.01,76837642,0
2004-01-30 00:00:00+05:30,110.21,111.53,107.42,107.91,32048135,0
2004-02-03 00:00:00+05:30,108.19,108.72,105.66,106.59,35915143,0
2004-02-04 00:00:00+05:30,106.9,110.69,105.79,109.99,38292987,0
2004-02-05 00:00:00+05:30,110.59,111.36,107.67,108.69,37508218,0
2004-02-06 00:00:00+05:30,109.48,111.07,108.59,110.76,34017439,0
2004-02-09 00:00:00+05:30,111.36,113.58,111.36,113.32,25926488,0
2004-02-10 00:00:00+05:30,113.96,115.19,112.73,114.2,45967501,0
2004-02-11 00:00:00+05:30,119.35,119.35,111.86,113.06,32259984,0
2004-02-12 00:00:00+05:30,113.62,114.52,112.42,113.13,30758852,0
2004-02-13 00:00:00+05:30,112.83,115.0,112.44,114.61,24270343,0
2004-02-16 00:00:00+05:30,115.12,115.89,113.62,114.14,29570977,0
2004-02-17 00:00:00+05:30,113.98,116.46,113.58,115.26,47904281,0
2004-02-18 00:00:00+05:30,115.86,117.52,115.53,116.43,58627449,0
2004-02-19 00:00:00+05:30,116.48,117.23,111.66,112.1,43387642,0
2004-02-20 00:00:00+05:30,111.86,114.54,111.75,113.08,52144275,0
2004-02-23 00:00:00+05:30,113.38,114.35,107.82,108.83,48785678,0
2004-02-24 00:00:00+05:30,106.93,109.46,105.88,108.91,65216125,0
2004-02-25 00:00:00+05:30,109.73,109.73,106.31,106.88,36169621,0
2004-02-26 00:00:00+05:30,106.65,108.63,103.76,104.39,54458073,0
2004-02-27 00:00:00+05:30,105.02,107.15,104.91,106.78,42919642,0
2004-03-01 00:00:00+05:30,109.53,109.62,107.09,109.21,32390696,0
2004-03-03 00:00:00+05:30,109.56,112.4,109.17,111.81,44242769,0
2004-03-04 00:00:00+05:30,111.27,112.42,109.84,110.43,22077631,0
2004-03-05 00:00:00+05:30,109.92,113.09,109.92,112.83,21490561,0
2004-03-08 00:00:00+05:30,113.19,115.31,113.07,114.68,25234914,0
2004-03-09 00:00:00+05:30,115.5,115.5,111.36,112.48,23728925,0
2004-03-10 00:00:00+05:30,111.84,112.04,109.76,110.44,21148166,0
